,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Longitude,Latitude,zone_ID
167,,,,,,415.4,,,,,,,-75.0314,41.0006,11
168,,,,,1.9,,,,,,,,-77.826944,39.493056,15
169,,,,,1.0,,,,,,,,-77.923055,39.605,15
170,,,,,2.4,,,,,,,,-77.784444,39.273056,15
171,,,,,14.4,,,,,,,,-81.3706,38.1944,22
172,,,,,14.4,,,,,,,,-81.5695,38.2526,22
173,,,,,18.7,,,,,,,,-81.91392,38.5274,22
174,,,,,,,2.0,,3.6,,,,-75.217222,38.327778,9
175,,,,,52.0,,,,,,,,-79.856111,39.720278,15
176,,,,,,,340.0,,28.0,,,,-76.6911,37.1575,13
177,,,,,8.4,,,,,,,,-78.002887,40.432915,3
178,,,,,,,65.0,,,,,,-74.2098,39.8154,11
179,,,,,,,1128.0,,,,,,-75.5072,39.7436,9
180,,,,,,,476.0,,,,,,-84.4611,39.4492,19
181,,,,,,,340.0,,,,,,-77.368544,37.498223,13
182,,,877.1,,,,,,,,,,-78.704,36.869,13
183,,,877.1,,,,,,,,,,-78.704,36.869,14
184,,,,,5.2,,,,,,,,-83.126719,40.153328,22
185,,,,,,,42.0,,,,,,-75.548172,39.145036,9
186,,,,,,,7.1,,,,,,-77.6583,39.9389,15
187,,,,,,,,,2.4,,,,-76.571944,36.028611,13
188,,,,,,,,,4.0,,,,-77.462918,38.752347,13
189,,,,,,,,,6.0,,,,-77.508061,38.74054,13
190,,,,,,,,,12.3,,,,-77.508061,38.74054,13
191,,,,,,,,,6.0,,,,-77.508061,38.74054,13
192,,,,,2.0,,,,,,,,-89.677526,41.787115,17
193,,,,,42.0,,,,,,,,-81.7375,39.1192,15
194,,,,,,,,,1.8,,,,-83.1883,40.4411,20
195,,,,,4.5,,,,,,,,-84.399756,41.237206,22
196,,4.0,,,,,,,,,,,-74.769146,40.153128,5
197,,,,,,,,,10.8,,,,-81.588233,41.556714,20
198,,,,,,,,,5.4,,,,-84.4769,40.2247,18
199,,,,,,,,,5.4,,,,-84.1095,41.4079,20
200,,,,,,,,,10.8,,,,-81.4985,40.5416,22
201,,,,,,,,,5.4,,,,-81.7586,40.86,20
202,,,,,,,,,10.8,,,,-84.527,41.4609,20
203,,,,,,,,,1.8,,,,-84.0401,40.4597,18
204,,,,,,,,,1.8,,,,-84.5513,39.9867,18
205,,,,,,,29.0,,,,,,-84.5183,39.3528,19
206,,,,,,,29.0,,,,,,-83.6402,41.3884,20
207,,,,,,,,,10.8,,,,-84.5794,41.5855,20
208,,,,,,,,,15.8,,,,-77.4974,38.7443,13
209,,,,,,,,,3.4,,,,-77.509722,38.725278,13
210,,,,,2.0,,,,,,,,-84.5558,39.4128,19
211,,,,,,,,,1.8,,,,-82.6625,40.8969,22
212,,,,,,,,,1.8,,,,-82.653333,40.908889,22
213,,,,,,,666.9,,,,,,-76.15976,39.71901,9
214,,,,,,,481.3,,,,,,-77.7681,38.5283,13
215,,,,,,,466.0,,,,,,-78.2139,38.1181,13
216,,,,,,,604.0,,,,,,-77.7714,38.5442,13
217,,,,,,,809.6,,,,,,-77.5133,38.0722,13
218,,,,,,,,,3.6,,,,-89.689416,41.780735,17
219,,,,,,,441.0,,,,,,-84.7392,40.9297,22
220,,,,,,,,,3.6,,,,-84.767208,41.449992,20
221,,,,,,,,,1.0,,,,-82.227208,41.163069,20
222,,,,,,,,,5.4,,,,-82.7939,40.7303,22
223,,,,,,,,,5.4,,,,-81.8714,41.0317,20
224,,,,,,,,,13.4,,,,-89.674385,41.768199,17
225,,,,,,,,,4.0,,,,-77.9862,37.2953,13
226,,,,,,,,,4.0,,,,-77.105,36.697222,13
227,,,,,,,98.0,,,,,,-75.623928,39.279179,9
228,,,,,,,,,391.0,,,,-74.8917,40.08,5
229,,,2709.0,,,,,,,,,,-82.1158,38.9347,22
230,,,,,29.9,433.5,,,,,,,-79.0056,41.8389,3
231,,101.0,,,,,,,,,,,-76.8053,37.5392,13
232,,,,,,,103.0,,,,,,-75.547335,39.149549,9
233,,,,,,,9.5,,,,,,-74.825,40.8625,11
234,,,80.0,,,,,,,,,,-76.1983,40.7903,4
235,,16.7,,,,,,,,,,,-76.853872,40.244242,4
236,,,,,,,4.1,,,,,,-74.634,40.624,7
237,,,,,,,8.2,,,,,,-74.155,40.8359,7
238,,,,,,,24.0,,,,,,-79.1594,40.6144,3
239,,,110.0,,,,,,,,,,-78.79794,40.55108,3
240,,,80.0,,,,,,,,,,-80.163138,39.561831,15
241,,,,,2.8,,,,,,,,-78.034628,40.540042,3
242,,,,,2.9,,,,,,,,-77.524504,37.220833,13
243,,,,,,,20.9,,,0.4,,,-74.26529,40.615616,7
244,,33.3,,,,,10.6,,,,,,-82.974039,39.324611,22
245,,,,,,,46.5,,,,,,-82.5667,36.5489,22
246,,,,,4.2,,,,,,,,-80.314795,40.733545,10
247,,,,,,,1.5,,,,,,-78.384125,40.533299,3
248,,,,,,,292.0,,,,,,-74.3444,40.439,11
249,,,43.0,,,,,,,,,,-76.452951,40.811189,4
250,,,,,,,,,,,,99.3,-81.6728,41.4739,20
251,,33.0,,,,,,,,,,,-75.1169,39.9092,7
252,,,,,3.6,,,,,,,,-88.789656,41.387792,17
253,,47.0,,,,,,,,,,,-77.167883,35.130193,13
254,,,,,1.2,,,,,,,,-80.317839,40.744105,10
255,,,50.0,,,,,,,,,,-78.7472,40.455,3
256,,61.3,,,,,,,,,,,-76.629653,39.266041,1
257,,,,,,,378.3,,,,,,-77.281111,37.291667,13
258,,60.0,,,,,,,,,,,-74.1255,40.7376,7
259,,,,,1.2,,,,,,,,-86.2592,41.8203,22
260,,2.6,,,,,,,2.0,,,,-75.704,38.159,9
261,,,50.0,,,,,,,,,,-79.960556,39.6397,15
262,,80.0,,,,,,,,,,,-75.3882,39.8265,5
263,,,,,,,145.0,,,,,,-75.1192,39.9175,7
264,,51.0,,,,,,,,,,,-77.282982,37.297834,13
265,,51.0,,,,,,,,,,,-79.273551,37.118674,22
266,,51.0,,,,,,,,,,,-76.9953,36.6525,13
267,,,,,5.0,,,,,,,,-80.985621,36.715103,22
268,,,,,,,24.5,,,,,,-74.2744,40.6781,7
269,,,,,,,145.6,,,,,,-76.040929,40.928161,4
270,,,,,12.0,,,,,,,,-88.0789,41.5697,17
271,,,,,,,954.3,,,,,,-74.2156,40.6322,7
272,,,,,6.2,,,,,,,,-81.2147,38.1483,22
273,,,,,96.8,,,,,,,,-81.1753,38.1478,22
274,,,,,19.0,,,,,,,,-80.8642,39.6672,15
275,,,,,19.0,,,,,,,,-80.8642,39.6672,22
276,,2.4,,,,,,,,,,,-76.773149,38.824863,6
277,,,,,,,2.0,,,,,,-74.7667,40.2167,7
278,,,,,2.5,,,,,,,,-77.56,36.696,13
279,,,,,1.6,,,,,,,,-78.9236,36.7817,14
280,,29.0,,,,,,,,,,,-77.1144,35.212,13
281,,114.8,,,,,,,,,,,-76.7831,35.8628,13
282,,30.0,,,,,,,,,,,-76.7183,40.0017,2
283,,30.0,,,,,,,,,,,-77.6414,36.4769,13
284,,,,,,,10.5,,,,,,-77.2806,37.3389,13
285,,8.0,,,,,63.7,,,,,,-75.5406,41.485,4
286,,,,,2.4,,,,,,,,-74.22999,40.883345,7
287,,,,,,,2.2,,,,,,-84.933264,40.846525,22
288,,,,,,,3.7,,,,,,-88.197156,41.800909,17
289,,,,,,,1.8,,,,,,-88.3331,41.8244,17
290,,,,,,,32.3,,7.1,,,,-86.2367,41.7094,22
291,,,,,,,12.0,,,,,,-76.8771,40.2653,4
292,,31.2,36.1,,,,17.7,,,,,,-76.868117,39.870935,2
293,,,,,,,56.4,,,,,,-75.358801,39.843743,5
294,,,,,,,10.2,,,,,,-74.187633,40.73928,7
295,,,,,,,11.7,,,,,,-84.5042,39.175,19
296,,,,,,,104.9,,,,,,-76.043233,41.574259,3
297,,7.0,,,0.4,,,,,,,,-79.357,37.534,22
298,,,110.5,,,,83.8,,,,,,-82.5431,36.5219,22
299,,,,,,,115.5,,,,,,-80.8547,39.7475,22
300,,,,,,,,,,,,54.0,-76.779864,35.376266,13
301,,,,,,,,,154.6,,,,-77.6594,36.4517,13
302,,,,,,,244.0,,,,,,-75.1592,39.8746,7
303,,5.8,,,,,,,,,,,-88.287721,41.871914,17
304,,2.9,,,,,,,,,,,-87.577716,41.658794,17
305,,5.8,,,,,,,,,,,-87.813738,42.10625,17
306,,,30.0,,,,,,,,,,-76.45,40.6191,4
307,,,,,,,,,,,,36.5,-88.1833,41.4167,17
308,,,,,,,27.0,,11.6,,,29.0,-75.2583,39.84,12
309,,54.0,,,,,,,,,,,-77.4556,39.2006,15
310,,98.0,,,,,,,,,,,-77.2411,38.695,13
311,,29.0,,,,,,,,,,,-77.1288,38.8014,13
312,,,,,,,,,,,,24.0,-79.8819,40.3097,10
313,,,,,,,,,,,,61.9,-79.8564,40.3925,10
314,,,80.0,,,,,,,,,,-75.8781,40.8556,4
315,,,,,,,114.6,,,,,,-74.327161,40.460717,11
316,,40.7,,,,,,,,,,,-77.2816,37.2914,13
317,,32.4,,,,,,,,,,,-76.6436,40.0711,2
318,,12.0,,,,,,,,,,,-75.1381,39.8733,7
319,,,112.0,,,,,,,,,,-75.4792,40.6917,4
320,,,,,6.0,,,,,,,,-79.665298,40.682875,15
321,,,,,8.0,,,,,,,,-79.577222,40.716389,15
322,,,,,13.6,,,,,,,,-79.478982,40.896596,15
323,,,,,17.8,,,,,,,,-79.550681,40.955961,15
324,,113.5,43.0,,,,,,,,,,-79.9947,37.799722,13
325,,37.5,,,,,,,,,,,-74.266372,40.601264,7
326,,,,,,,,,6.0,,,,-83.5042,41.6325,20
327,,,82.5,,,,,,,,,,-79.8134,41.2691,3
328,,,,,,,1189.0,,,,,,-77.446246,37.820805,13
329,,,,,,,7.0,,,,,,-87.628465,41.83442,17
330,,,,,12.2,,,,,,,,-79.368214,39.801637,3
331,,,,,9.9,,,,,,,,-74.180986,40.915319,7
332,,,,,,,16.8,,,,,,-80.542767,37.180441,22
333,,,,,,,325.0,,,,,,-76.3083,36.775,13
334,,,,,,,27.2,,,,,,-80.765,37.3439,22
335,,,,,,,8.8,,,,,,-78.6528,38.3836,13
336,,,,,,,72.5,,4.5,,,,-75.298823,40.217963,5
337,,36.1,,,,,38.0,,,,,,-76.9128,36.6803,13
338,,,,,4.0,,,,,,,,-79.365703,40.46439,3
339,,,,,4.0,,,,,,,,-79.365703,40.46439,15
340,,,,,,,130.0,,,,,135.0,-75.6343,39.5871,9
341,,,,,,,55.7,,,,,,-87.6524,41.8675,17
342,,,,,,,55.0,,,,,,-77.4308,37.4556,13
343,,,,,,,,,,,,19.1,-80.8176,41.2119,20
344,,,,,,,1.8,,,,,,-75.05283,40.013993,5
345,,,,,,,5.3,,,,,,-76.878843,40.955015,4
346,,,,,,,2.5,,,,,,-81.7756,40.9692,20
347,,,,,,,2.9,,,,,,-88.28,41.7697,17
348,,,,,,,7.2,,,,,,-88.302222,41.998889,17
349,,,,,1.2,,,,,,,,-87.8681,41.1128,17
350,,,,,,,5.4,,,,,,-88.413,42.2891,17
351,,,,,,,51.0,,,,,,-87.8233,41.7775,17
352,,0.9,,,,,,,6.0,0.2,,,-74.178041,39.909424,11
353,,28.0,,,,,,,,,,,-75.3103,40.0967,5
354,,,86.0,,,,,,,,,,-76.1736,40.8222,4
355,,49.0,,,,,,,,,,,-78.675759,41.491466,15
356,,,,,,,265.0,,,,,,-74.1686,40.0613,11
357,,,,,4.5,,,,,,,,-79.432503,36.576778,22
358,,4.8,,,,,,,,,,,-88.27452,41.981004,17
359,,3.2,,,,,,,,,,,-77.2375,38.6892,13
360,,43.9,,,,,,,,,,,-74.768164,40.162633,5
361,,,,,,,,,10.2,,,,-77.467185,37.193584,13
362,,,,,,,170.6,,,,,,-75.188069,39.942219,5
363,,,,,,,2.4,,,,,,-87.699556,42.044038,17
364,,,,,,,3.8,,,,,,-87.8542,41.1603,17
365,,,,,,,17.5,,,,,,-76.5956,39.2744,1
366,,,,,,,9.4,,,,,,-74.446199,40.475724,7
367,,,,,,,218.0,,,,,,-78.203543,38.124688,13
368,,3.3,,,,,,,,,,,-85.3611,37.3208,21
369,,,,,,,3.0,,,,,,-87.79218,41.91708,17
370,,,,,,,1.6,,2.6,,,,-87.6831,41.9031,17
371,,,,,,,5.0,,,,,,-89.0356,42.3156,17
372,,,,,3.0,,,,,,,,-89.481286,41.845306,17
373,,7.2,,,,,,,,,,,-84.293549,41.515211,20
374,,13.8,,,,,,,,,,,-74.250137,40.024937,11
375,,46.5,,,,,,,,,,,-76.3036,36.8083,13
376,,,,,,,1.4,,,,,,-87.6047,41.5839,17
377,,,,,,,1.0,,,,,,-87.5978,41.6225,17
378,,5.8,,,,,,,,,,,-88.084908,41.73379,17
379,,10.2,,,,,,,,,,,-88.6548,40.9314,17
380,,,,,,,,,6.0,,,,-87.61851,41.852709,17
381,,6.0,,,,,,,,,,,-80.020765,42.060172,3
382,,,,,,,335.6,,,,,,-88.2397,42.0931,17
383,,,,,,,566.0,,,,,,-84.4647,39.4522,19
384,,,,,,,1140.0,,,,,,-88.2581,41.4797,17
385,,,,,,,501.0,,,,,,-85.4133,38.3902,21
386,,,,,,,586.0,,,,,,-89.607222,41.774444,17
387,,,,,,,521.2,,,,,,-90.279679,41.712216,17
388,,,,,,,548.0,,,,,,-75.9356,40.4219,2
389,,,,,,,88.5,,,,,,-79.768333,40.546667,10
390,,,,,,,825.0,,,,,,-82.604586,38.191661,22
391,,,,,,,1350.0,,,,,,-88.1236,41.4388,17
392,,,,,,,194.0,,,,,,-88.332778,41.411944,17
393,,,,,,,622.9,,,,,,-87.943612,41.393315,17
394,,,,,,,196.0,,,,,,-84.615136,40.075783,18
395,,,,,,,233.1,,,,,,-85.3057,40.6206,22
396,,,,,,,562.0,,,,,,-75.3358,39.8614,5
397,,,,,,,267.5,,,,,,-79.8061,41.2908,3
398,,,,,,,676.8,,,,,,-89.4054,41.8287,17
399,,,,,,,366.6,,,,,,-89.101202,42.238558,17
