,line_ID,FMAX
153,100181,722.3303
154,100182,722.3303
155,100183,427.47968
156,100184,996.97107
157,100185,722.3303
158,100187,722.3303
159,100188,996.97107
160,100189,427.47968
161,100190,722.3303
162,100191,722.3303
163,100192,996.97107
164,100193,722.3303
165,100195,722.3303
166,100196,427.47968
167,100197,722.3303
168,100198,722.3303
169,100200,722.3303
170,100201,722.3303
171,100203,722.3303
172,100204,427.47968
173,100205,427.47968
174,100206,722.3303
175,100207,722.3303
176,100209,722.3303
177,100210,427.47968
178,100211,722.3303
179,100212,996.97107
180,100213,722.3303
181,100214,427.47968
182,100215,427.47968
183,100216,722.3303
184,100217,722.3303
185,100218,722.3303
186,100219,722.3303
187,100221,427.47968
188,100222,427.47968
189,100223,722.3303
190,100224,996.97107
191,100225,427.47968
192,100226,427.47968
193,100227,722.3303
194,100228,722.3303
195,100230,722.3303
196,100231,722.3303
197,100232,722.3303
198,100233,722.3303
199,100234,722.3303
200,100235,996.97107
201,100236,722.3303
202,100237,722.3303
203,100238,996.97107
204,100239,722.3303
205,100240,996.97107
206,100241,427.47968
207,100242,722.3303
208,100244,722.3303
209,100246,427.47968
210,100248,427.47968
211,100250,722.3303
212,100252,722.3303
213,100254,806.57184
214,100255,722.3303
215,100256,722.3303
216,100257,722.3303
217,100259,996.97107
218,100261,722.3303
219,100262,996.97107
220,100263,722.3303
221,100264,722.3303
222,100265,722.3303
223,100266,722.3303
224,100267,722.3303
225,100268,722.3303
226,100269,427.47968
227,100271,722.3303
228,100272,722.3303
229,100273,427.47968
230,100274,806.57184
231,100275,722.3303
232,100276,722.3303
233,100277,722.3303
234,100278,722.3303
235,100279,722.3303
236,100281,427.47968
237,100282,722.3303
238,100283,722.3303
239,100284,996.97107
240,100286,722.3303
241,100287,996.97107
242,100288,722.3303
243,100289,722.3303
244,100290,722.3303
245,100291,722.3303
246,100292,996.97107
247,100294,722.3303
248,100295,722.3303
249,100296,722.3303
250,100297,722.3303
251,100298,427.47968
252,100299,427.47968
253,100301,722.3303
254,100302,722.3303
255,100303,722.3303
256,100304,722.3303
257,100305,722.3303
258,100306,722.3303
259,100307,722.3303
260,100308,722.3303
261,100310,722.3303
262,100311,722.3303
263,100312,427.47968
264,100313,722.3303
265,100314,722.3303
266,100315,722.3303
267,100316,427.47968
268,100317,427.47968
269,100319,996.97107
270,100320,996.97107
271,100322,806.57184
272,100324,722.3303
273,100325,806.57184
274,100326,722.3303
275,100327,806.57184
276,100328,722.3303
277,100329,722.3303
278,100330,996.97107
279,100331,806.57184
280,100332,722.3303
281,100333,722.3303
282,100334,427.47968
283,100335,427.47968
284,100336,722.3303
285,100337,722.3303
286,100338,722.3303
287,100339,722.3303
288,100340,722.3303
289,100341,722.3303
290,100342,722.3303
291,100343,722.3303
292,100344,427.47968
293,100345,427.47968
294,100346,427.47968
