,ID,SHAPE_Length,VOLTAGE,start_zone,end_zone
56625,174523,55565.3988971846,345.0,3.0,
56976,175007,2308.64063679591,69.0,17.0,
57083,137679,121450.934753097,230.0,,22.0
57086,119185,121472.401526104,230.0,,22.0
57145,175300,11857.6193356208,138.0,,19.0
57857,131496,119648.817249791,138.0,22.0,
58122,167996,12927.501561779,69.0,,22.0
58469,145364,17704.4740737383,69.0,22.0,
59151,124964,13637.900237669,69.0,,13.0
59589,139638,50600.1799681804,138.0,19.0,
59591,173635,25161.7651627077,138.0,18.0,
59905,114236,332673.949464215,765.0,22.0,
60255,144399,26241.5760958059,230.0,,4.0
60256,174361,26313.4804816952,230.0,4.0,
60261,174380,20338.5494020845,69.0,,4.0
60282,155919,39718.8423156353,138.0,20.0,
61199,175962,84624.6125428127,138.0,17.0,
61201,175964,25732.4522701695,138.0,,17.0
61641,176398,15063.4678316056,69.0,21.0,
61813,176573,47396.0091458779,138.0,22.0,
62244,177005,20351.2642097094,69.0,,12.0
63908,175391,7022.5955187211,230.0,12.0,
64139,146783,11998.7465476702,138.0,21.0,
66141,157109,13774.3817944464,345.0,7.0,
66226,180450,45820.6660769978,345.0,22.0,
66437,180282,42218.1083061371,345.0,,20.0
66489,157110,10716.9343756626,345.0,,7.0
66647,179059,37471.3926794656,230.0,4.0,
66652,180710,37465.8427867572,230.0,4.0,
66690,179704,40558.6689694294,345.0,,20.0
66827,180446,171161.976842433,500.0,,13.0
66827,180446,171161.976842433,500.0,,14.0
66846,179830,17305.8424819115,230.0,,13.0
67061,179364,10146.2103128818,69.0,9.0,
67173,179287,20151.6548782278,69.0,,21.0
67215,180008,62315.4511076354,138.0,21.0,
