,ID,SHAPE_Length,VOLTAGE,start_zone,end_zone
21986,105920,773.004658239054,69.0,21.0,22.0
22316,106335,43895.5764006991,138.0,15.0,22.0
22656,106791,54818.5636036153,500.0,15.0,3.0
22701,107029,451.516894924008,230.0,13.0,14.0
22701,107029,451.516894924008,230.0,14.0,13.0
22817,106990,43229.9450603308,138.0,14.0,22.0
22945,107154,73970.4174851329,115.0,3.0,15.0
23341,107674,12699.7996130289,69.0,22.0,21.0
23401,107746,39050.4286895401,115.0,13.0,14.0
23554,107942,72434.9572815651,345.0,19.0,21.0
23644,108035,7651.72934774086,230.0,6.0,1.0
23709,108117,15915.5064793921,500.0,5.0,9.0
23743,108167,10472.3491868182,69.0,5.0,4.0
23853,108392,4886.15292488555,138.0,21.0,19.0
23907,108371,16002.9934746287,115.0,15.0,13.0
24185,108740,29874.5576662097,230.0,7.0,12.0
24335,108950,14346.3220305392,69.0,22.0,21.0
24369,109010,11201.7039255823,69.0,22.0,15.0
24623,109346,3250.27861649901,230.0,7.0,5.0
24791,109569,110496.601756956,500.0,12.0,11.0
24801,109580,6035.91425045464,115.0,14.0,22.0
24917,109722,22127.4717956491,138.0,21.0,19.0
24942,109768,8284.00873287433,138.0,3.0,15.0
24942,109768,8284.00873287433,138.0,15.0,3.0
25064,109900,14078.5404593584,138.0,13.0,15.0
25088,167524,9161.5882280636,230.0,9.0,5.0
25287,110184,172.841717134184,138.0,3.0,15.0
25287,110184,172.841717134184,138.0,15.0,3.0
25359,110286,36115.128433705,230.0,13.0,14.0
25373,110319,16994.4801466959,115.0,13.0,14.0
25419,110359,24275.7400316082,138.0,15.0,10.0
25451,110418,3391.03962378094,69.0,22.0,21.0
25568,110563,16774.2416952711,230.0,11.0,2.0
25595,110605,23809.2586702987,230.0,2.0,11.0
25698,110747,8010.97363669805,69.0,22.0,21.0
25842,110927,25556.455286873,115.0,14.0,13.0
25871,110980,44864.4233461915,230.0,4.0,2.0
25889,111011,10278.3884078772,138.0,15.0,22.0
25889,111011,10278.3884078772,138.0,22.0,15.0
25946,111083,63592.6351536958,345.0,18.0,19.0
25964,111105,151123.38412015,345.0,19.0,18.0
25977,111125,43261.9122998146,115.0,3.0,2.0
26045,111209,57759.9593294571,138.0,22.0,13.0
26127,111318,26635.3173691037,230.0,13.0,14.0
26127,111318,26635.3173691037,230.0,14.0,13.0
26142,111347,37939.4686832024,500.0,1.0,15.0
26289,111538,59033.960108648,230.0,4.0,3.0
26465,111734,154.168656822803,69.0,18.0,19.0
26488,111783,46322.2604350513,138.0,22.0,20.0
26503,111800,21488.3024000426,138.0,15.0,3.0
26853,112277,25619.9757751134,138.0,22.0,15.0
26941,112389,12744.6148557425,138.0,3.0,15.0
27039,112512,85050.1767348125,500.0,5.0,2.0
27108,112613,8992.52964734386,138.0,19.0,18.0
27116,112615,3625.21518253725,138.0,22.0,15.0
27173,112704,37924.1869810268,500.0,1.0,15.0
27388,112994,148046.31464041,345.0,19.0,16.0
27388,112994,148046.31464041,345.0,19.0,22.0
27434,113048,44275.1025967386,138.0,22.0,15.0
27456,113084,90714.5277241451,138.0,22.0,20.0
27552,113210,61.9957580542501,230.0,13.0,14.0
27552,113210,61.9957580542501,230.0,14.0,13.0
27763,113497,22328.8767334551,230.0,6.0,15.0
27765,113502,199.013346957952,115.0,13.0,14.0
27765,113502,199.013346957952,115.0,14.0,13.0
27956,113759,146046.464357434,345.0,20.0,22.0
27997,113831,37875.172459579,230.0,11.0,7.0
27998,113832,495.579495029859,345.0,16.0,22.0
27998,113832,495.579495029859,345.0,22.0,16.0
28093,113969,14512.4629897546,138.0,15.0,10.0
28152,114054,63501.4349735886,138.0,22.0,20.0
28208,114136,9384.09396434719,138.0,19.0,21.0
28283,114239,67834.7170123352,345.0,19.0,22.0
28312,114280,102824.757994563,345.0,18.0,22.0
28393,114389,13804.904855774,138.0,15.0,10.0
28436,114438,50556.1688039533,138.0,10.0,15.0
28443,114447,63398.0349645575,138.0,22.0,20.0
28551,114620,7610.071839634,138.0,13.0,22.0
28823,114958,34014.7241878255,230.0,13.0,14.0
29121,115351,23521.5568006754,138.0,20.0,22.0
29226,115518,1585.89649830747,138.0,3.0,15.0
29226,115518,1585.89649830747,138.0,15.0,3.0
29387,115751,8286.05613532698,115.0,13.0,14.0
29387,115751,8286.05613532698,115.0,14.0,13.0
29571,115997,48674.8134547149,345.0,22.0,15.0
30146,116806,15471.2511497335,138.0,15.0,22.0
30336,117023,39316.5452923131,230.0,3.0,15.0
30363,117057,15896.6865698347,230.0,13.0,14.0
30403,117107,54296.9878394814,230.0,3.0,4.0
30417,117192,13594.3871185388,115.0,14.0,13.0
30523,117262,441.309040117414,230.0,13.0,14.0
30523,117262,441.309040117414,230.0,14.0,13.0
30563,117311,29472.75858741,115.0,13.0,14.0
30707,117486,23489.7011698479,230.0,1.0,6.0
30785,117560,103300.798007287,345.0,22.0,16.0
30811,117601,14982.3838064699,230.0,7.0,11.0
30830,117620,49874.460312265,138.0,22.0,20.0
30867,117673,30440.5478330897,230.0,2.0,4.0
30870,117677,2900.70845548922,138.0,10.0,15.0
30880,117696,5878.12625357935,138.0,15.0,10.0
31637,118635,19612.6323388524,138.0,15.0,10.0
31797,118806,23018.4783262551,138.0,22.0,20.0
31965,119079,3427.54132195286,138.0,16.0,22.0
31965,119079,3427.54132195286,138.0,22.0,16.0
31993,119059,42448.067455473,138.0,15.0,3.0
32062,159736,18036.2139641448,230.0,1.0,9.0
32205,159670,20043.0155347658,115.0,9.0,1.0
32210,119323,24015.1002667309,138.0,15.0,2.0
32276,119399,87.4148766529943,115.0,13.0,14.0
32276,119399,87.4148766529943,115.0,14.0,13.0
32379,119530,30962.6334876224,230.0,4.0,2.0
32479,119642,5527.61488074091,138.0,18.0,20.0
32525,119691,23305.3363730196,230.0,2.0,4.0
32574,119758,41980.5588379142,138.0,22.0,16.0
32672,119859,15266.5013247601,138.0,15.0,22.0
32692,119912,22025.2871971102,115.0,22.0,13.0
32741,119942,7668.96334010299,230.0,6.0,1.0
32857,120082,19967.3876708103,138.0,16.0,22.0
33082,120351,26680.7860696294,138.0,15.0,10.0
33237,120531,26670.5152617719,138.0,22.0,20.0
33404,120730,15749.4784184517,230.0,11.0,7.0
33544,120890,13399.3807741655,230.0,1.0,6.0
33660,121026,31308.6813332685,138.0,18.0,19.0
33764,121161,18075.2689639421,138.0,15.0,13.0
34048,121511,258521.186099368,500.0,3.0,4.0
34125,121614,25337.206667773,115.0,15.0,3.0
34599,122193,9168.07716902887,230.0,4.0,5.0
34658,122277,6663.94532099648,345.0,22.0,15.0
34778,159225,14716.7453777573,138.0,22.0,20.0
34786,122431,12686.4808733559,230.0,11.0,7.0
34846,159269,19003.1583096578,69.0,22.0,18.0
34865,122524,34088.6864171187,138.0,10.0,15.0
34953,159298,16902.5728727926,69.0,22.0,18.0
34963,122649,43299.0703394748,138.0,22.0,20.0
34967,122658,4174.82284552127,138.0,15.0,22.0
34967,122658,4174.82284552127,138.0,22.0,15.0
35006,122702,10653.7219181053,138.0,22.0,15.0
35261,123043,40996.3514497898,138.0,22.0,20.0
35284,123087,9733.78783595877,138.0,21.0,22.0
35332,123133,2098.0086840883,138.0,15.0,10.0
35479,123288,9069.02987359101,115.0,22.0,14.0
35481,123295,15473.4393407305,230.0,13.0,15.0
35635,123488,332.382377570866,115.0,13.0,14.0
35635,123488,332.382377570866,115.0,14.0,13.0
35682,123557,74516.687579979,345.0,18.0,19.0
35692,159528,9556.0968038406,69.0,18.0,22.0
35693,159578,27652.2113375585,69.0,22.0,18.0
35866,159586,29921.7582543645,138.0,22.0,20.0
35903,123833,29615.8709737517,115.0,15.0,3.0
35939,123880,7835.94763547619,138.0,15.0,10.0
35975,123924,27531.0717665911,230.0,6.0,13.0
35977,124051,693.751557956303,115.0,13.0,14.0
35977,124051,693.751557956303,115.0,14.0,13.0
36206,124214,33756.8690240863,230.0,14.0,13.0
36672,124781,4178.02362995495,138.0,15.0,22.0
36672,124781,4178.02362995495,138.0,22.0,15.0
37095,125266,35197.2526892033,230.0,3.0,4.0
37216,125413,23474.0039195516,345.0,21.0,22.0
37242,125443,17102.7695572935,138.0,3.0,15.0
37242,125443,17102.7695572935,138.0,15.0,3.0
37449,125692,3505.09942117396,230.0,5.0,7.0
37622,125901,23589.3321764767,138.0,20.0,18.0
37665,125943,10526.6990484005,138.0,10.0,15.0
37666,125956,23462.1657811463,230.0,1.0,6.0
37779,126071,33309.0221382369,230.0,4.0,5.0
37796,126090,14850.1988792968,115.0,13.0,14.0
37796,126090,14850.1988792968,115.0,14.0,13.0
37832,126130,13802.7932599938,138.0,15.0,10.0
37984,126315,30574.3228780145,69.0,4.0,5.0
38026,126359,21255.7118946922,230.0,6.0,15.0
38028,126361,22372.213920207,69.0,21.0,19.0
38046,126383,13231.4709062993,115.0,15.0,3.0
38135,126489,22367.8348657294,230.0,6.0,15.0
38257,126655,32648.5942846588,138.0,16.0,22.0
38257,126655,32648.5942846588,138.0,22.0,16.0
38356,126795,15685.9886589904,115.0,22.0,14.0
38392,126839,23541.574922995,230.0,1.0,6.0
38553,127046,42474.289089502,500.0,11.0,7.0
38577,127076,28200.5734813109,138.0,19.0,21.0
38765,127303,12494.2951739757,230.0,5.0,4.0
38810,127360,5849.65038373046,230.0,7.0,11.0
38885,127448,16974.7008181349,69.0,22.0,21.0
38888,127452,22519.7548816398,345.0,22.0,18.0
38903,127460,146035.72096817,345.0,16.0,19.0
38903,127460,146035.72096817,345.0,22.0,19.0
38957,127546,9058.83227111904,138.0,13.0,22.0
38959,127548,10224.613764992,115.0,15.0,3.0
39218,127852,36754.4873516415,138.0,10.0,15.0
39339,128004,32827.6738052845,500.0,11.0,7.0
39652,128370,27557.4435259376,230.0,6.0,13.0
39707,128446,39260.4965520776,138.0,20.0,22.0
39890,128658,15001.3895026898,69.0,2.0,4.0
39932,128701,22500.8990936913,115.0,4.0,9.0
40074,162238,13743.2000545964,115.0,14.0,22.0
40405,129244,12401.5803956585,115.0,13.0,22.0
40477,129320,79399.1741173663,138.0,22.0,20.0
40527,129382,17169.5470170893,138.0,15.0,22.0
40649,129535,15646.6183873181,230.0,15.0,13.0
40903,129854,53935.0281354098,500.0,7.0,11.0
41193,130182,59985.0759546317,345.0,22.0,18.0
41278,130291,35372.3022148439,230.0,1.0,5.0
41499,130563,18008.6119534791,138.0,3.0,15.0
41710,130820,43831.6088988479,230.0,15.0,3.0
41961,131111,87.2934612692438,230.0,13.0,14.0
41961,131111,87.2934612692438,230.0,14.0,13.0
42185,131411,106331.635293602,500.0,15.0,13.0
42187,131418,74783.0254920557,161.0,22.0,21.0
42459,131808,54263.6970986496,345.0,20.0,18.0
42693,132107,70913.0835378611,500.0,15.0,13.0
42732,132147,26122.0159332658,115.0,22.0,13.0
42801,132229,55521.6200442207,230.0,2.0,4.0
42905,132364,4633.98925814888,230.0,7.0,5.0
42974,132460,18808.6270881583,69.0,4.0,2.0
43148,132653,11949.830084235,115.0,13.0,22.0
43319,132863,10170.3975951816,115.0,22.0,14.0
43580,133175,45680.6633882345,138.0,20.0,22.0
43714,133320,14778.6439549547,115.0,14.0,13.0
44051,133681,96819.7399897033,138.0,19.0,21.0
44378,134058,29648.7814024434,345.0,10.0,22.0
44383,134059,13032.6454623453,115.0,9.0,1.0
44437,134116,110730.323927833,345.0,10.0,20.0
44483,134178,20650.6247080316,230.0,2.0,4.0
44606,134337,2157.11203769285,138.0,22.0,20.0
44730,134499,36012.418948054,115.0,13.0,14.0
44753,134509,5625.89957132203,230.0,14.0,13.0
44871,134637,104411.378452505,345.0,22.0,16.0
45309,135141,102785.206027808,500.0,11.0,4.0
45840,135738,53064.8334401264,765.0,18.0,22.0
45968,135886,50669.4378992737,345.0,22.0,20.0
45980,135887,157459.153598557,500.0,2.0,4.0
46004,135927,8424.91901513661,345.0,22.0,20.0
46042,135967,26196.0430446249,138.0,18.0,22.0
46508,136513,35.9527039394294,138.0,15.0,22.0
46508,136513,35.9527039394294,138.0,22.0,15.0
46576,136591,18890.2573475424,138.0,22.0,15.0
46849,136937,55281.764172127,345.0,13.0,22.0
47002,137139,23797.3019656998,69.0,2.0,4.0
47078,137229,20828.7753110725,230.0,4.0,2.0
47144,137307,65779.684417307,138.0,3.0,15.0
47183,137347,5835.94960910457,230.0,7.0,11.0
47262,137457,38883.5075137212,230.0,4.0,2.0
47289,137487,12030.1218185377,138.0,22.0,16.0
47311,137520,2090.32665029721,115.0,13.0,14.0
47311,137520,2090.32665029721,115.0,14.0,13.0
47344,137558,30889.0736033469,230.0,13.0,14.0
47344,137558,30889.0736033469,230.0,14.0,13.0
47419,137653,24577.8418003378,138.0,16.0,22.0
47419,137653,24577.8418003378,138.0,22.0,16.0
47635,137916,13404.8224005702,230.0,1.0,6.0
47714,138005,83501.3594191915,500.0,11.0,5.0
47753,138051,35244.0347958464,138.0,20.0,22.0
47968,138311,2748.15006281333,230.0,9.0,5.0
47995,138343,9368.49510642681,138.0,19.0,21.0
48019,138376,146036.204226052,345.0,16.0,19.0
48019,138376,146036.204226052,345.0,22.0,19.0
48024,138382,19462.999388152,115.0,13.0,15.0
48078,138445,12742.1469620158,138.0,13.0,15.0
48089,138454,235992.914452315,500.0,3.0,2.0
48251,138641,53604.9806435346,230.0,11.0,7.0
48306,138715,28172.927014177,138.0,20.0,22.0
48389,138832,25976.7958618166,138.0,20.0,22.0
48484,138957,26704.4522828604,138.0,16.0,22.0
48566,139066,15507.5361960695,138.0,15.0,22.0
48566,139066,15507.5361960695,138.0,22.0,15.0
48683,139218,1599.72764674826,138.0,10.0,15.0
48716,139262,25509.8681435279,115.0,15.0,13.0
49148,139843,18954.7933680826,115.0,22.0,13.0
49228,139943,15776.5062659402,345.0,15.0,22.0
49645,140455,65771.4509712997,230.0,3.0,15.0
49727,140559,458.773165032063,138.0,16.0,22.0
49727,140559,458.773165032063,138.0,22.0,16.0
49770,140627,87757.2328645975,230.0,11.0,2.0
49812,140669,41642.2835662967,138.0,22.0,20.0
49834,140696,21176.605843766,138.0,15.0,10.0
49854,140727,23408.7190307215,230.0,13.0,14.0
49854,140727,23408.7190307215,230.0,14.0,13.0
54809,167630,2410.66573710647,69.0,21.0,19.0
54811,114372,10451.8479469969,69.0,19.0,21.0
54856,167728,14754.6246156401,138.0,19.0,21.0
55172,171111,2206.68639590351,69.0,19.0,21.0
56367,173785,2120.43617489859,69.0,19.0,18.0
56570,174227,16660.4307301996,115.0,14.0,13.0
56571,174228,564.380502304043,115.0,13.0,14.0
56571,174228,564.380502304043,115.0,14.0,13.0
58769,112131,9025.52045463306,230.0,4.0,5.0
59584,167405,56135.7107780052,138.0,22.0,21.0
59590,167858,25611.4027502382,138.0,19.0,18.0
59622,106820,79319.5925345938,138.0,18.0,20.0
59651,126389,46442.6999905777,138.0,22.0,18.0
59653,136734,36423.9474747372,138.0,22.0,19.0
59662,164538,54481.3805822429,138.0,22.0,15.0
59668,126806,145948.871052686,345.0,18.0,22.0
59670,167794,21187.2251668867,69.0,18.0,19.0
59721,145385,228723.003880958,765.0,18.0,22.0
59730,173786,2544.57789578273,69.0,19.0,18.0
59770,159584,29139.3106192573,138.0,18.0,22.0
59869,135363,131046.211336372,345.0,10.0,20.0
59871,148593,153984.884019035,345.0,20.0,10.0
59879,125836,49438.4743718152,138.0,20.0,22.0
59889,114841,66346.9243103945,345.0,16.0,22.0
59907,122006,72647.428961493,765.0,22.0,16.0
59908,167040,10307.5696506531,138.0,20.0,22.0
59944,116452,31330.7203552643,69.0,19.0,18.0
59949,102093,33653.2701509849,138.0,18.0,19.0
59991,108923,25074.6486639948,230.0,11.0,4.0
59992,125750,7642.24849524788,138.0,5.0,7.0
60004,129978,28356.370929232,138.0,15.0,13.0
60007,105562,63373.9536211764,138.0,22.0,13.0
60032,132074,9150.4475963581,115.0,3.0,15.0
60230,127436,47507.3279350262,115.0,2.0,4.0
60402,120496,167927.660564779,500.0,4.0,11.0
60404,103100,46758.8928075716,230.0,4.0,2.0
60410,167097,28822.5141848571,115.0,15.0,3.0
60459,174531,11672.7392830582,138.0,15.0,10.0
60608,167820,8047.81091060883,115.0,14.0,13.0
62750,177512,108924.53754973,500.0,14.0,13.0
63546,141500,796.97108157648,138.0,15.0,22.0
63546,141500,796.97108157648,138.0,22.0,15.0
63734,124558,73.6005795921926,232.0,13.0,14.0
63939,108389,12731.7462534408,230.0,2.0,11.0
66001,133419,43990.0735887138,69.0,19.0,22.0
66090,132859,10363.4173786262,138.0,15.0,10.0
66091,127103,20605.9568203895,138.0,10.0,15.0
66092,168291,14208.7535506872,138.0,10.0,15.0
